name,address,lng,lat
구리초등학교,경기도 구리시 경춘로276번길 51(수택동),127.147833,37.6007677
건원초등학교,경기도 구리시 동구릉로80번길 15(인창동),127.135652,37.6072839
동인초등학교,경기도 구리시 동구릉로103번길 37(인창동),127.133745,37.6105948
동구초등학교,경기도 구리시 건원대로76번길 45(인창동),127.141716,37.6088509
구지초등학교,경기도 구리시 건원대로76번길 40(인창동),127.142324,37.6071793
수택초등학교,경기도 구리시 검배로136번길 41(토평동),127.15252,37.591935
배영초등학교,경기도 의정부시 가능로135번길 20(의정부동),127.046693,37.7478904
호암초등학교,경기도 의정부시 호암로 47(호원동),127.04661,37.7047577
만천초등학교,강원도 춘천시 동면 후석로326번길 89,127.757925,37.8842725
지촌초등학교,강원도 춘천시 사북면 지촌길 130,127.644885,38.0379538
동내초등학교,강원도 춘천시 동내면 동내로 131,127.766235,37.8511332
남산초등학교,강원도 춘천시 남산면 한치로 59,127.645669,37.7928411
춘천삼육초등학교,강원도 춘천시 동면 방죽길 56-10,127.75368,37.9110771
광판초등학교,강원도 춘천시 남산면 김유정로 159-12,127.698828,37.7306595
추곡초등학교,강원도 춘천시 북산면 북산로 34,127.882346,38.0244674
지촌초등학교지암분교장,강원도 춘천시 사북면 화악지암길 431,127.607172,37.9812108
남산초등학교서천분교장,강원도 춘천시 남산면 서백길 152,127.55521,37.8355819
중앙초등학교,강원도 원주시 남산로 181(학성동),127.939468,37.3526483
만대초등학교,강원도 원주시 만대로 65(무실동),127.920549,37.3392622
무실초등학교,강원도 원주시 만대로 155(무실동),127.9219,37.3349529
반곡초등학교,강원도 원주시 동부순환로 247(반곡동),127.973313,37.3374089
(가칭)원주특수학교,강원도 원주시 봉대길 33(반곡동),127.993879,37.3320706
명륜초등학교,강원도 원주시 행구로 25(개운동),127.958568,37.342114
단관초등학교,강원도 원주시 단관초교길 14(관설동),127.963771,37.3174185
관설초등학교,강원도 원주시 치악로 1355(관설동),127.976187,37.3086454
단계초등학교,강원도 원주시 북원로 2387(단계동),127.936425,37.3589012
북원초등학교,강원도 원주시 단구로 60(단계동),127.93773,37.3431961
